Name,Team,G,Rec,Tgt,RecYds,Y/G,Avg,Lng,YAC,1stD,RecTD,KR,Yds,Avg,Long,KRTD,PR,Yds,Avg,Long,PRTD,Fum,FumL
Julian Talley,NYG,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denard Robinson,JAC,16,0,2,0,0,0,0,0,0,0,4,88,22,27,0,0,0,0,0,0,3,2
Joe Anderson,CHI,6,0,1,0,0,0,0,0,0,0,5,82,16.4,21,0,0,0,0,0,0,0,0
Ryan Spadola,NYJ,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trindon Holliday,DEN,15,0,0,0,0,0,0,0,0,0,28,775,27.7,105,1,32,271,8.5,81,1,0,0
Devon Wylie,TEN,2,0,0,0,0,0,0,0,0,0,5,94,18.8,23,0,2,4,2,4,0,0,0
Justin Veltung,STL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,61,8.7,15,0,0,0
Matthew Slater,NWE,12,0,0,0,0,0,0,0,0,0,2,10,5,10,0,0,0,0,0,0,0,0
Devin Hester,CHI,16,0,0,0,0,0,0,0,0,0,52,1436,27.6,80,0,18,256,14.2,81,1,0,0
Micheal Spurlock,DAL,1,0,0,0,0,0,0,0,0,0,18,389,21.6,36,0,23,207,9,62,0,0,0
Lavelle Hawkins,SDG,4,0,0,0,0,0,0,0,0,0,8,176,22,27,0,0,0,0,0,0,0,0
